date;Ep
2025-12-01;29.20800018310547
2025-12-02;24.39316749572754
2025-12-03;8.40250015258789
2025-12-04;5.846166610717773
2025-12-05;8.079583168029785
2025-12-06;17.45574951171875
2025-12-07;9.699166297912598
2025-12-08;30.946666717529297
2025-12-09;13.318166732788086
2025-12-10;23.86425018310547
2025-12-11;17.5396671295166
2025-12-12;13.10141658782959
2025-12-13;24.070499420166016
2025-12-14;8.355083465576172
2025-12-15;12.894000053405762
2025-12-16;10.328999519348145
2025-12-17;6.017916679382324
2025-12-18;3.7725000381469727
