date;Ep
2026-05-01;452.6835021972656
2026-05-02;431.4291687011719
2026-05-03;293.9525146484375
2026-05-04;432.64825439453125
2026-05-05;431.4891662597656
2026-05-06;377.5935974121094
2026-05-07;294.3352355957031
2026-05-08;474.9097595214844
2026-05-09;482.0087585449219
2026-05-10;371.8479309082031
2026-05-11;356.9808349609375
2026-05-12;272.6144104003906
2026-05-13;255.28334045410156
2026-05-14;400.5972595214844
2026-05-15;369.5987548828125
2026-05-16;328.91717529296875
2026-05-17;365.7587585449219
2026-05-18;346.7485046386719
2026-05-19;389.43450927734375
2026-05-20;172.93309020996094
2026-05-21;454.9839172363281
2026-05-22;337.6282653808594
2026-05-23;422.94549560546875
2026-05-24;517.3980712890625
2026-05-25;518.9595947265625
2026-05-26;424.9364013671875
2026-05-27;534.1500854492188
2026-05-28;511.0120849609375
2026-05-29;455.2588195800781
2026-05-30;330.5370788574219
2026-05-31;290.2720031738281
