date;Ep
2025-05-01;474.7994079589844
2025-05-02;399.79132080078125
2025-05-03;217.23025512695312
2025-05-04;452.8699035644531
2025-05-05;453.7026672363281
2025-05-06;505.0021667480469
2025-05-07;509.3153381347656
2025-05-08;502.049072265625
2025-05-09;335.8258361816406
2025-05-10;435.2138366699219
2025-05-11;495.3101501464844
2025-05-12;502.0443420410156
2025-05-13;504.25567626953125
2025-05-14;432.41192626953125
2025-05-15;530.1624755859375
2025-05-16;499.62249755859375
2025-05-17;459.2030029296875
2025-05-18;469.01873779296875
2025-05-19;537.4088134765625
2025-05-20;537.5358276367188
2025-05-21;375.83551025390625
2025-05-22;293.4476623535156
2025-05-23;330.1057434082031
2025-05-24;407.49859619140625
2025-05-25;167.4205780029297
2025-05-26;440.27740478515625
2025-05-27;314.3691711425781
2025-05-28;352.7236633300781
2025-05-29;448.3907470703125
2025-05-30;333.2763366699219
2025-05-31;527.6355590820312
