date;Ep
2025-08-01;403.9322509765625
2025-08-02;203.10916137695312
2025-08-03;311.218994140625
2025-08-04;300.0935974121094
2025-08-05;425.03717041015625
2025-08-06;349.08740234375
2025-08-07;273.53167724609375
2025-08-08;348.9649963378906
2025-08-09;414.7959899902344
2025-08-10;369.97467041015625
2025-08-11;297.3774108886719
2025-08-12;275.6814270019531
2025-08-13;439.82000732421875
2025-08-14;239.79541015625
2025-08-15;408.66632080078125
2025-08-16;439.3413391113281
2025-08-17;438.23809814453125
2025-08-18;428.41998291015625
2025-08-19;399.9572448730469
2025-08-20;427.99609375
2025-08-21;329.39483642578125
2025-08-22;380.3625793457031
2025-08-23;401.21234130859375
2025-08-24;399.21575927734375
2025-08-25;367.16009521484375
2025-08-26;280.5638427734375
2025-08-27;299.02783203125
2025-08-28;253.6996612548828
2025-08-29;277.920654296875
2025-08-30;254.8260040283203
2025-08-31;229.8953399658203
