date;Ep
2025-09-01;203.08050537109375
2025-09-02;308.2040710449219
2025-09-03;296.02398681640625
2025-09-04;279.5936584472656
2025-09-05;194.0419158935547
2025-09-06;326.2065124511719
2025-09-07;355.40057373046875
2025-09-08;331.2691650390625
2025-09-09;0.0
2025-09-10;42.82466506958008
2025-09-11;141.1875762939453
2025-09-12;122.55525207519531
2025-09-13;136.24041748046875
2025-09-14;123.71900177001953
2025-09-15;55.98341751098633
2025-09-16;133.21258544921875
2025-09-17;132.70909118652344
2025-09-18;137.6211700439453
2025-09-19;108.64424896240234
2025-09-20;117.34508514404297
2025-09-21;98.54042053222656
2025-09-22;129.2899169921875
2025-09-23;144.54150390625
2025-09-24;149.0904998779297
2025-09-25;149.08407592773438
2025-09-26;144.27992248535156
2025-09-27;143.20700073242188
2025-09-28;134.6687469482422
2025-09-29;62.050750732421875
2025-09-30;113.1052474975586
