date;Ep
2025-06-01;305.1484069824219
2025-06-02;461.47265625
2025-06-03;503.44183349609375
2025-06-04;251.9322509765625
2025-06-05;298.6270751953125
2025-06-06;326.1751708984375
2025-06-07;393.3802490234375
2025-06-08;290.5328369140625
2025-06-09;517.8359375
2025-06-10;179.4443359375
2025-06-11;578.8646850585938
2025-06-12;573.9774780273438
2025-06-13;556.7161865234375
2025-06-14;546.5501098632812
2025-06-15;266.9909973144531
2025-06-16;503.7439270019531
2025-06-17;474.79998779296875
2025-06-18;521.0557250976562
2025-06-19;543.4465942382812
2025-06-20;562.7202758789062
2025-06-21;509.54241943359375
2025-06-22;360.6285095214844
2025-06-23;341.659423828125
2025-06-24;339.2605895996094
2025-06-25;500.5290832519531
2025-06-26;348.0386657714844
2025-06-27;444.59759521484375
2025-06-28;340.5165710449219
2025-06-29;559.891845703125
2025-06-30;0.0
