date;Ep
2026-07-01;344.0669860839844
2026-07-02;190.9550018310547
2026-07-03;0.0
2026-07-04;430.26416015625
2026-07-05;499.8853454589844
2026-07-06;173.5261688232422
2026-07-07;407.3972473144531
2026-07-08;523.2367553710938
2026-07-09;532.3790283203125
2026-07-10;506.8002624511719
2026-07-11;469.4305114746094
2026-07-12;435.0254211425781
2026-07-13;299.3876647949219
2026-07-14;490.53607177734375
2026-07-15;493.4031677246094
2026-07-16;473.645263671875
2026-07-17;426.2359313964844
2026-07-18;443.4737548828125
2026-07-19;170.25650024414062
2026-07-20;501.45941162109375
2026-07-21;463.9188232421875
2026-07-22;319.8539123535156
2026-07-23;391.46923828125
2026-07-24;280.7138366699219
2026-07-25;221.14657592773438
2026-07-26;303.14459228515625
2026-07-27;232.8685760498047
2026-07-28;246.6038360595703
2026-07-29;388.42657470703125
2026-07-30;444.1219177246094
2026-07-31;286.13934326171875
