time,Active power(kW)
2026-04-01 06:00:00,0.013181818181818182
2026-04-01 07:00:00,1.3265
2026-04-01 08:00:00,3.9432499999999995
2026-04-01 09:00:00,8.951166666666667
2026-04-01 10:00:00,15.34275
2026-04-01 11:00:00,18.5325
2026-04-01 12:00:00,16.743416666666665
2026-04-01 13:00:00,15.37
2026-04-01 14:00:00,13.241750000000001
2026-04-01 15:00:00,11.345083333333333
2026-04-01 16:00:00,8.104916666666666
2026-04-01 17:00:00,4.28175
2026-04-01 18:00:00,1.7069166666666666
2026-04-01 19:00:00,0.2565
2026-04-01 20:00:00,0.0
2026-04-01 21:00:00,
2026-04-01 22:00:00,
2026-04-01 23:00:00,
2026-04-02 00:00:00,
2026-04-02 01:00:00,
2026-04-02 02:00:00,
2026-04-02 03:00:00,
2026-04-02 04:00:00,
2026-04-02 05:00:00,
2026-04-02 06:00:00,0.0
2026-04-02 07:00:00,0.4296666666666667
2026-04-02 08:00:00,0.8631666666666667
2026-04-02 09:00:00,2.62875
2026-04-02 10:00:00,3.7795
2026-04-02 11:00:00,9.661333333333333
2026-04-02 12:00:00,11.762333333333332
2026-04-02 13:00:00,10.365083333333333
2026-04-02 14:00:00,9.549583333333333
2026-04-02 15:00:00,2.2746666666666666
2026-04-02 16:00:00,5.6355
2026-04-02 17:00:00,7.873
2026-04-02 18:00:00,3.1789166666666664
2026-04-02 19:00:00,0.5130833333333333
2026-04-02 20:00:00,0.0
2026-04-02 21:00:00,
2026-04-02 22:00:00,
2026-04-02 23:00:00,
2026-04-03 00:00:00,
2026-04-03 01:00:00,
2026-04-03 02:00:00,
2026-04-03 03:00:00,
2026-04-03 04:00:00,
2026-04-03 05:00:00,
2026-04-03 06:00:00,0.029545454545454545
2026-04-03 07:00:00,2.016166666666667
2026-04-03 08:00:00,5.6834999999999996
2026-04-03 09:00:00,11.898000000000001
2026-04-03 10:00:00,20.50275
2026-04-03 11:00:00,15.185083333333333
2026-04-03 12:00:00,20.771833333333333
2026-04-03 13:00:00,22.990083333333335
2026-04-03 14:00:00,20.537
2026-04-03 15:00:00,14.634416666666667
2026-04-03 16:00:00,6.234916666666667
2026-04-03 17:00:00,3.9563333333333333
2026-04-03 18:00:00,2.2739166666666666
2026-04-03 19:00:00,0.5370833333333334
2026-04-03 20:00:00,0.0
2026-04-03 21:00:00,
2026-04-03 22:00:00,
2026-04-03 23:00:00,
2026-04-04 00:00:00,
2026-04-04 01:00:00,
