time,Active power(kW)
2026-04-04 02:00:00,
2026-04-04 03:00:00,
2026-04-04 04:00:00,
2026-04-04 05:00:00,
2026-04-04 06:00:00,0.021500000000000002
2026-04-04 07:00:00,1.17875
2026-04-04 08:00:00,3.6174166666666667
2026-04-04 09:00:00,9.663583333333333
2026-04-04 10:00:00,17.667083333333334
2026-04-04 11:00:00,12.923
2026-04-04 12:00:00,24.66508333333333
2026-04-04 13:00:00,20.554583333333333
2026-04-04 14:00:00,13.005416666666667
2026-04-04 15:00:00,22.00075
2026-04-04 16:00:00,6.486166666666667
2026-04-04 17:00:00,9.157416666666666
2026-04-04 18:00:00,3.2770833333333336
2026-04-04 19:00:00,0.8805000000000001
2026-04-04 20:00:00,0.0
2026-04-04 21:00:00,0.0
2026-04-04 22:00:00,
2026-04-04 23:00:00,
2026-04-05 00:00:00,
2026-04-05 01:00:00,
2026-04-05 02:00:00,
2026-04-05 03:00:00,
2026-04-05 04:00:00,
2026-04-05 05:00:00,
2026-04-05 06:00:00,0.0
2026-04-05 07:00:00,0.05391666666666667
2026-04-05 08:00:00,2.0218333333333334
2026-04-05 09:00:00,7.389083333333333
2026-04-05 10:00:00,13.181833333333332
2026-04-05 11:00:00,13.355666666666666
2026-04-05 12:00:00,14.807833333333335
2026-04-05 13:00:00,18.850833333333334
2026-04-05 14:00:00,20.738
2026-04-05 15:00:00,17.9065
2026-04-05 16:00:00,11.346583333333333
2026-04-05 17:00:00,7.093416666666666
2026-04-05 18:00:00,3.448916666666667
2026-04-05 19:00:00,1.1134166666666667
2026-04-05 20:00:00,0.015666666666666666
2026-04-05 21:00:00,0.0
2026-04-05 22:00:00,
2026-04-05 23:00:00,
2026-04-06 00:00:00,
2026-04-06 01:00:00,
2026-04-06 02:00:00,
2026-04-06 03:00:00,
2026-04-06 04:00:00,
2026-04-06 05:00:00,0.0
2026-04-06 06:00:00,0.08466666666666667
2026-04-06 07:00:00,2.0130833333333333
2026-04-06 08:00:00,3.9889166666666664
2026-04-06 09:00:00,12.748
2026-04-06 10:00:00,13.3635
2026-04-06 11:00:00,12.913166666666667
2026-04-06 12:00:00,24.436666666666667
2026-04-06 13:00:00,16.343666666666667
2026-04-06 14:00:00,16.699166666666667
2026-04-06 15:00:00,14.898166666666667
2026-04-06 16:00:00,11.816833333333333
2026-04-06 17:00:00,6.3694999999999995
2026-04-06 18:00:00,4.007000000000001
2026-04-06 19:00:00,0.8951666666666666
2026-04-06 20:00:00,0.008916666666666666
2026-04-06 21:00:00,0.0
2026-04-06 22:00:00,
2026-04-06 23:00:00,
2026-04-07 00:00:00,
2026-04-07 01:00:00,
2026-04-07 02:00:00,
2026-04-07 03:00:00,
2026-04-07 04:00:00,
2026-04-07 05:00:00,0.0
2026-04-07 06:00:00,0.09658333333333334
2026-04-07 07:00:00,2.288
2026-04-07 08:00:00,7.1297500000000005
2026-04-07 09:00:00,13.86875
2026-04-07 10:00:00,18.435333333333332
2026-04-07 11:00:00,20.6605
2026-04-07 12:00:00,21.91841666666667
2026-04-07 13:00:00,22.538749999999997
2026-04-07 14:00:00,21.61
2026-04-07 15:00:00,18.99116666666667
2026-04-07 16:00:00,12.926583333333333
2026-04-07 17:00:00,7.696833333333334
2026-04-07 18:00:00,3.450583333333333
2026-04-07 19:00:00,0.638
2026-04-07 20:00:00,0.01916666666666667
2026-04-07 21:00:00,0.0
2026-04-07 22:00:00,
2026-04-07 23:00:00,
2026-04-08 00:00:00,
2026-04-08 01:00:00,
2026-04-08 02:00:00,
2026-04-08 03:00:00,
2026-04-08 04:00:00,
2026-04-08 05:00:00,0.0
2026-04-08 06:00:00,0.11516666666666668
2026-04-08 07:00:00,2.4755
2026-04-08 08:00:00,7.27325
2026-04-08 09:00:00,13.662083333333333
2026-04-08 10:00:00,17.765583333333336
2026-04-08 11:00:00,20.616833333333336
2026-04-08 12:00:00,21.778833333333335
2026-04-08 13:00:00,22.344166666666666
2026-04-08 14:00:00,21.4905
2026-04-08 15:00:00,18.962500000000002
2026-04-08 16:00:00,12.057083333333333
2026-04-08 17:00:00,7.704000000000001
2026-04-08 18:00:00,4.945416666666667
2026-04-08 19:00:00,1.2655833333333333
2026-04-08 20:00:00,0.017249999999999998
2026-04-08 21:00:00,0.0
2026-04-08 22:00:00,
2026-04-08 23:00:00,
2026-04-09 00:00:00,
2026-04-09 01:00:00,
2026-04-09 02:00:00,
2026-04-09 03:00:00,
2026-04-09 04:00:00,
2026-04-09 05:00:00,0.0
2026-04-09 06:00:00,0.12450000000000001
2026-04-09 07:00:00,1.9614166666666666
2026-04-09 08:00:00,6.760166666666667
2026-04-09 09:00:00,12.367583333333334
2026-04-09 10:00:00,17.907416666666666
2026-04-09 11:00:00,21.950166666666664
2026-04-09 12:00:00,22.70283333333333
2026-04-09 13:00:00,22.4115
2026-04-09 14:00:00,21.256833333333333
2026-04-09 15:00:00,18.941666666666666
2026-04-09 16:00:00,13.329666666666666
2026-04-09 17:00:00,8.650666666666666
2026-04-09 18:00:00,3.88925
2026-04-09 19:00:00,0.47700000000000004
2026-04-09 20:00:00,0.01425
2026-04-09 21:00:00,0.0
2026-04-09 22:00:00,
2026-04-09 23:00:00,
2026-04-10 00:00:00,
2026-04-10 01:00:00,
2026-04-10 02:00:00,
2026-04-10 03:00:00,
2026-04-10 04:00:00,
2026-04-10 05:00:00,0.0
2026-04-10 06:00:00,0.22883333333333333
2026-04-10 07:00:00,0.08750000000000001
2026-04-10 08:00:00,0.18175
2026-04-10 09:00:00,0.4615
2026-04-10 10:00:00,1.0768333333333333
2026-04-10 11:00:00,1.5081666666666667
2026-04-10 12:00:00,1.4421666666666668
2026-04-10 13:00:00,3.0726666666666667
2026-04-10 14:00:00,5.832833333333333
2026-04-10 15:00:00,4.002833333333333
2026-04-10 16:00:00,6.262250000000001
2026-04-10 17:00:00,3.25775
2026-04-10 18:00:00,3.1286666666666663
2026-04-10 19:00:00,0.7912499999999999
2026-04-10 20:00:00,0.009666666666666665
2026-04-10 21:00:00,0.0
2026-04-10 22:00:00,
2026-04-10 23:00:00,
2026-04-11 00:00:00,
2026-04-11 01:00:00,
2026-04-11 02:00:00,
2026-04-11 03:00:00,
2026-04-11 04:00:00,
2026-04-11 05:00:00,0.0
2026-04-11 06:00:00,0.19758333333333333
2026-04-11 07:00:00,2.30275
2026-04-11 08:00:00,5.208833333333334
2026-04-11 09:00:00,13.137416666666667
2026-04-11 10:00:00,19.942416666666666
2026-04-11 11:00:00,21.8335
2026-04-11 12:00:00,22.405916666666666
2026-04-11 13:00:00,22.953
2026-04-11 14:00:00,20.991833333333336
2026-04-11 15:00:00,20.64725
2026-04-11 16:00:00,14.516416666666666
2026-04-11 17:00:00,9.700416666666667
2026-04-11 18:00:00,4.32475
2026-04-11 19:00:00,1.3328333333333333
2026-04-11 20:00:00,0.04133333333333333
2026-04-11 21:00:00,0.0
2026-04-11 22:00:00,
2026-04-11 23:00:00,
2026-04-12 00:00:00,
2026-04-12 01:00:00,
2026-04-12 02:00:00,
2026-04-12 03:00:00,
2026-04-12 04:00:00,
2026-04-12 05:00:00,0.0
2026-04-12 06:00:00,0.0
2026-04-12 07:00:00,0.503
2026-04-12 08:00:00,1.0028333333333335
2026-04-12 09:00:00,3.2575833333333333
2026-04-12 10:00:00,5.6445
2026-04-12 11:00:00,9.010833333333332
2026-04-12 12:00:00,11.783416666666668
2026-04-12 13:00:00,22.565583333333333
2026-04-12 14:00:00,22.81141666666667
2026-04-12 15:00:00,19.668583333333334
2026-04-12 16:00:00,14.164000000000001
2026-04-12 17:00:00,9.458916666666667
2026-04-12 18:00:00,4.561083333333333
2026-04-12 19:00:00,1.7401666666666669
2026-04-12 20:00:00,0.2045
