time,Active power(kW)
2025-08-01,211.63741666666667
2025-08-02,96.20824999999999
2025-08-03,157.36158333333333
2025-08-04,151.59766666666667
2025-08-05,221.75933333333333
2025-08-06,176.65691666666666
2025-08-07,140.65975
2025-08-08,178.6495
2025-08-09,214.091
2025-08-10,193.1745
2025-08-11,149.96408333333335
2025-08-12,136.77291666666667
2025-08-13,234.10126515151515
2025-08-14,126.20491666666668
2025-08-15,214.22503333333333
2025-08-16,230.21943181818182
2025-08-17,229.4492398989899
2025-08-18,224.21806060606062
2025-08-19,209.65091666666666
2025-08-20,226.85383333333334
2025-08-21,171.90283333333332
2025-08-22,202.59841666666665
2025-08-23,216.6255
2025-08-24,211.32516666666666
2025-08-25,201.32766666666666
2025-08-26,147.26658333333333
2025-08-27,157.62016666666668
2025-08-28,136.68658333333335
2025-08-29,140.85875
2025-08-30,131.00691666666665
2025-08-31,113.7415
